Problem,run,Algo,Optimal
hk48,5,QLSA epsilon_greedy,11565.0
dantzig42,4,QLSA softmax,774.0
dantzig42,7,QLSA softmax,758.0
dantzig42,3,QLSA softmax,754.0
dantzig42,8,QLSA softmax,821.0
dantzig42,2,QLSA softmax,744.0
dantzig42,1,QLSA softmax,828.0
dantzig42,5,QLSA softmax,773.0
dantzig42,6,QLSA softmax,747.0
eil51,4,QLSA softmax,489.0
eil51,8,QLSA softmax,503.0
eil51,7,QLSA softmax,558.0
eil51,3,QLSA softmax,477.0
eil51,2,QLSA softmax,495.0
eil51,1,QLSA softmax,453.0
eil51,5,QLSA softmax,452.0
eil51,6,QLSA softmax,461.0
eil76,8,SA,591.0
eil76,1,SA,661.0
eil76,5,SA,608.0
eil76,4,SA,595.0
eil76,6,SA,590.0
eil76,3,SA,666.0
eil76,2,SA,637.0
eil76,7,SA,634.0
fri26,8,SA,1019.0
fri26,1,SA,1027.0
fri26,5,SA,1104.0
fri26,6,SA,944.0
fri26,4,SA,1042.0
fri26,3,SA,956.0
fri26,2,SA,1024.0
gr17,8,SA,2134.0
fri26,7,SA,1021.0
gr17,1,SA,2151.0
gr17,5,SA,2085.0
gr17,4,SA,2085.0
gr17,6,SA,2243.0
gr17,3,SA,2243.0
gr17,2,SA,2157.0
gr17,7,SA,2085.0
gr21,8,SA,2941.0
gr21,1,SA,2707.0
gr21,5,SA,2707.0
gr21,6,SA,3057.0
gr21,4,SA,3051.0
gr21,3,SA,3073.0
gr21,2,SA,3566.0
gr21,7,SA,3102.0
gr24,8,SA,1368.0
gr24,1,SA,1331.0
gr24,5,SA,1366.0
gr24,6,SA,1492.0
gr24,4,SA,1298.0
gr24,3,SA,1318.0
gr24,2,SA,1384.0
gr24,7,SA,1272.0
kroA100,2,QLSA softmax,22402.0
kroA100,4,QLSA softmax,23246.0
pr107,5,SA,46650.0
kroA100,1,QLSA softmax,25299.0
pr107,2,SA,46324.0
pr107,8,SA,49155.0
pr107,3,SA,47118.0
kroA100,5,QLSA softmax,23388.0
pr107,1,SA,50099.0
kroA100,8,QLSA softmax,22396.0
pr107,6,SA,46597.0
gr48,8,SA,5652.0
kroA100,6,QLSA softmax,24165.0
gr48,1,SA,5651.0
pr107,4,SA,46937.0
pr107,7,SA,50193.0
gr48,5,SA,5083.0
gr48,4,SA,5518.0
gr48,6,SA,5180.0
gr48,2,SA,5489.0
gr48,3,SA,5160.0
gr48,7,SA,5088.0
kroA100,3,QLSA softmax,25290.0
swiss42,5,SA,1338.0
swiss42,2,SA,1323.0
swiss42,8,SA,1354.0
swiss42,3,SA,1353.0
swiss42,1,SA,1372.0
swiss42,6,SA,1414.0
ulysses16,5,SA,6895.0
swiss42,7,SA,1312.0
kroA100,7,QLSA softmax,22216.0
swiss42,4,SA,1368.0
ulysses16,8,SA,7233.0
ulysses16,2,SA,6859.0
ulysses16,1,SA,6889.0
ulysses16,3,SA,7169.0
ulysses16,6,SA,6909.0
ulysses16,7,SA,7436.0
ulysses16,4,SA,7419.0
eil76,4,QLSA softmax,610.0
eil76,3,QLSA softmax,620.0
eil76,7,QLSA softmax,593.0
eil76,8,QLSA softmax,609.0
eil76,2,QLSA softmax,604.0
hk48,1,SA,12383.0
eil76,1,QLSA softmax,698.0
ulysses22,5,SA,7146.0
eil76,5,QLSA softmax,609.0
hk48,8,SA,12671.0
ulysses22,8,SA,7182.0
ulysses22,2,SA,7701.0
eil76,6,QLSA softmax,638.0
hk48,7,SA,12197.0
ulysses22,3,SA,7101.0
hk48,2,SA,11508.0
ulysses22,6,SA,7291.0
hk48,6,SA,12805.0
hk48,5,SA,13611.0
ulysses22,1,SA,7289.0
hk48,4,SA,12112.0
fri26,4,QLSA softmax,985.0
kroA100,1,QLSA epsilon_greedy,22814.0
ulysses22,4,SA,7430.0
fri26,3,QLSA softmax,1041.0
ulysses22,7,SA,7091.0
hk48,3,SA,11965.0
fri26,8,QLSA softmax,955.0
fri26,7,QLSA softmax,995.0
fri26,2,QLSA softmax,1025.0
fri26,1,QLSA softmax,974.0
gr17,4,QLSA softmax,2095.0
fri26,5,QLSA softmax,962.0
kroA100,6,QLSA epsilon_greedy,21569.0
kroA100,8,QLSA epsilon_greedy,22164.0
kroA100,2,QLSA epsilon_greedy,22035.0
kroA100,4,QLSA epsilon_greedy,24126.0
gr17,3,QLSA softmax,2090.0
fri26,6,QLSA softmax,962.0
gr17,8,QLSA softmax,2152.0
gr17,7,QLSA softmax,2090.0
gr17,2,QLSA softmax,2085.0
bayg29,5,QLSA epsilon_greedy,1779.0
bayg29,8,QLSA epsilon_greedy,1736.0
gr17,1,QLSA softmax,2294.0
kroA100,5,QLSA epsilon_greedy,22897.0
bayg29,2,QLSA epsilon_greedy,1628.0
kroA100,3,QLSA epsilon_greedy,22513.0
gr17,5,QLSA softmax,2200.0
kroA100,7,QLSA epsilon_greedy,24742.0
bayg29,3,QLSA epsilon_greedy,1641.0
gr21,4,QLSA softmax,2945.0
gr17,6,QLSA softmax,2151.0
bayg29,1,QLSA epsilon_greedy,1699.0
bayg29,6,QLSA epsilon_greedy,1680.0
gr21,3,QLSA softmax,3018.0
bayg29,4,QLSA epsilon_greedy,1656.0
gr21,8,QLSA softmax,2845.0
bayg29,7,QLSA epsilon_greedy,1635.0
gr21,7,QLSA softmax,2758.0
gr21,2,QLSA softmax,2754.0
gr21,1,QLSA softmax,2754.0
gr21,5,QLSA softmax,3158.0
bays29,8,QLSA epsilon_greedy,2213.0
bays29,2,QLSA epsilon_greedy,2102.0
bays29,5,QLSA epsilon_greedy,2112.0
gr21,6,QLSA softmax,3141.0
gr24,4,QLSA softmax,1289.0
bays29,3,QLSA epsilon_greedy,2061.0
gr24,3,QLSA softmax,1462.0
bays29,6,QLSA epsilon_greedy,2075.0
gr24,8,QLSA softmax,1307.0
gr24,7,QLSA softmax,1283.0
bays29,4,QLSA epsilon_greedy,2130.0
bays29,1,QLSA epsilon_greedy,2065.0
bays29,7,QLSA epsilon_greedy,2105.0
gr24,2,QLSA softmax,1419.0
gr24,1,QLSA softmax,1417.0
gr24,5,QLSA softmax,1337.0
gr24,6,QLSA softmax,1360.0
gr48,4,QLSA softmax,5083.0
gr48,3,QLSA softmax,5236.0
gr48,8,QLSA softmax,5473.0
gr48,7,QLSA softmax,5394.0
gr48,2,QLSA softmax,5549.0
gr48,1,QLSA softmax,5454.0
gr48,5,QLSA softmax,5675.0
gr17,9,QLSA epsilon_greedy,2184.0
gr48,6,QLSA softmax,5504.0
bayg29,9,QLSA softmax,1661.0
berlin52,8,QLSA epsilon_greedy,8172.0
berlin52,2,QLSA epsilon_greedy,8195.0
berlin52,5,QLSA epsilon_greedy,7728.0
gr21,9,QLSA epsilon_greedy,2789.0
bayg29,10,QLSA softmax,1710.0
berlin52,6,QLSA epsilon_greedy,7860.0
berlin52,1,QLSA epsilon_greedy,8118.0
berlin52,3,QLSA epsilon_greedy,8290.0
berlin52,7,QLSA epsilon_greedy,8255.0
berlin52,4,QLSA epsilon_greedy,7543.0
burma14,8,QLSA epsilon_greedy,3580.0
burma14,2,QLSA epsilon_greedy,3323.0
burma14,5,QLSA epsilon_greedy,3336.0
bays29,9,QLSA softmax,2081.0
dantzig42,9,SA,834.0
gr24,9,QLSA epsilon_greedy,1344.0
burma14,6,QLSA epsilon_greedy,3323.0
burma14,1,QLSA epsilon_greedy,3346.0
burma14,7,QLSA epsilon_greedy,3448.0
burma14,4,QLSA epsilon_greedy,3336.0
burma14,3,QLSA epsilon_greedy,3551.0
bays29,10,QLSA softmax,2089.0
dantzig42,10,SA,767.0
hk48,9,QLSA softmax,13179.0
dantzig42,8,QLSA epsilon_greedy,821.0
hk48,10,QLSA softmax,11781.0
dantzig42,2,QLSA epsilon_greedy,753.0
dantzig42,5,QLSA epsilon_greedy,772.0
dantzig42,1,QLSA epsilon_greedy,747.0
dantzig42,6,QLSA epsilon_greedy,750.0
dantzig42,7,QLSA epsilon_greedy,747.0
dantzig42,3,QLSA epsilon_greedy,742.0
dantzig42,4,QLSA epsilon_greedy,830.0
gr48,9,QLSA epsilon_greedy,5115.0
eil51,9,SA,444.0
berlin52,9,QLSA softmax,7863.0
kroB100,1,QLSA softmax,23831.0
berlin52,10,QLSA softmax,8112.0
kroB100,2,QLSA softmax,22866.0
eil51,10,SA,482.0
burma14,9,QLSA softmax,3323.0
kroB100,4,QLSA softmax,23627.0
burma14,10,QLSA softmax,3466.0
kroB100,8,QLSA softmax,23875.0
kroB100,6,QLSA softmax,23633.0
eil51,8,QLSA epsilon_greedy,501.0
eil51,2,QLSA epsilon_greedy,475.0
kroB100,5,QLSA softmax,25028.0
eil51,5,QLSA epsilon_greedy,455.0
hk48,9,QLSA epsilon_greedy,11890.0
eil51,7,QLSA epsilon_greedy,487.0
eil51,1,QLSA epsilon_greedy,452.0
eil51,3,QLSA epsilon_greedy,445.0
eil51,6,QLSA epsilon_greedy,473.0
kroB100,3,QLSA softmax,23437.0
eil51,4,QLSA epsilon_greedy,451.0
dantzig42,9,QLSA softmax,817.0
kroB100,7,QLSA softmax,24292.0
